Date,Day,Description
2013-11-03,Sunday,Diwali-Laxmi Puja*
2013-11-04,Monday,Diwali-Balipratipada
2013-11-15,Thursday,Moharram
2013-11-17,Sunday,Gurunank Jayanti
2013-12-25,Wednesday,Christmas
2014-01-26,Sunday,Republic Day
2014-02-27,Thursday,Mahashivratri
2014-03-17,Monday,Holi
2014-04-08,Tuesday,Ram Navami
2014-04-13,Sunday,Mahavir Jayanti
2014-04-14,Monday,Dr. Baba Saheb Ambedkar Jayanti
2014-04-18,Friday,Good Friday
2014-04-24,Thursday,Parliamentary Elections in Mumbai
2014-05-01,Thursday,May Day
2014-07-29,Tuesday,Ramzan ID
2014-08-15,Friday,Independence Day
2014-08-29,Friday,Ganesh Chaturthi
2014-10-02,Thursday,Mahatma Gandhi Jayanti
2014-10-03,Friday,Dasera
2014-10-06,Monday,Bakri ID
2014-10-15,Wednesday,General Assembly Elections in Maharashtra
2014-10-23,Thursday,Diwali-Laxmi Pujan*
2014-10-24,Friday,Diwali-Balipratipada
2014-11-04,Tuesday,Moharram
2014-11-06,Thursday,Gurunanak Jayanti
2014-12-25,Thursday,Christmas
2015-01-26,Monday,Republic Day
2015-02-17,Tuesday,Mahashivratri
2015-03-06,Friday,Holi
2015-03-28,Saturday,Ram Navami
2015-04-02,Thursday,Mahavir Jayanti
2015-04-03,Friday,Good Friday
2015-04-14,Tuesday,Dr. Baba Saheb Ambedkar Jayanti
2015-05-01,Friday,Maharashtra Day
2015-07-18,Saturday,Id-Ul-Fitr (Ramzan ID)
2015-08-15,Saturday,Independence Day
2015-09-17,Thursday,Ganesh Chaturthi
2015-09-25,Friday,Bakri ID
2015-10-02,Friday,Mahatma Gandhi Jayanti
2015-10-22,Thursday,Dasera
2015-10-24,Saturday,Moharram
2015-11-11,Wednesday,Diwali-Laxmi Pujan*
2015-11-12,Thursday,Diwali-Balipratipada
2015-11-25,Wednesday,Gurunanak Jayanti
2015-12-25,Friday,Christmas
2016-01-26,Tuesday,Republic Day
2016-03-07,Monday,Mahashivratri
2016-03-24,Thursday,Holi
2016-03-25,Friday,Good Friday
2016-04-14,Thursday,Dr. Baba Saheb Ambedkar Jayanti
2016-04-15,Friday,Ram Navami
2016-04-19,Tuesday,Mahavir Jayanti
2016-05-01,Sunday,Maharashtra Day
2016-07-06,Wednesday,Id-Ul-Fitr (Ramzan ID)
2016-08-15,Monday,Independence Day
2016-09-05,Monday,Ganesh Chaturthi
2016-09-13,Tuesday,Bakri ID
2016-10-02,Sunday,Mahatma Gandhi Jayanti
2016-10-11,Tuesday,Dasera
2016-10-12,Wednesday,Moharram
2016-10-30,Sunday,Diwali-Laxmi Pujan*
2016-10-31,Monday,Diwali-Balipratipada
